T_air,sol_dir,sol_diff
-3.5,0,0
-3.8,0,0
-3.8,0,0
-3.7,0,0
-3.1,0,0
-3.0,0,0
-3.2,0,0
-3.4,0,4
-3.3,0,28
-3.0,0,56
-2.3,0,69
-1.9,0,42
-1.7,0,28
-1.5,0,47
-1.7,0,29
-2.1,0,5
-2.4,0,0
-2.5,0,0
-2.7,0,0
-3.4,0,0
-3.8,0,0
-4.2,0,0
-4.5,0,0
-5.1,0,0
-5.7,0,0
-6.8,0,0
-7.5,0,0
-8.1,0,0
-8.5,0,0
-8.7,0,0
-9.1,0,0
-9.3,7,13
-8.3,47,47
-6.9,156,43
-5.4,207,46
-4.0,229,46
-3.0,181,60
-3.1,125,57
-3.5,38,46
-4.7,0,10
-6.1,0,0
-6.7,0,0
-7.2,0,0
-8.3,0,0
-7.7,0,0
-7.7,0,0
-7.7,0,0
-7.6,0,0
-7.4,0,0
-7.6,0,0
-8.1,0,0
-6.8,0,0
-6.3,0,0
-6.1,0,0
-6.0,0,0
-5.5,1,11
-5.1,3,43
-4.4,15,83
-4.0,119,82
-1.8,136,83
-2.2,42,108
-3.0,109,52
-3.6,42,38
-4.1,0,8
-5.3,0,0
-6.1,0,0
-6.5,0,0
-7.2,0,0
-7.7,0,0
-8.9,0,0
-8.8,0,0
-10.6,0,0
-10.8,0,0
-11.2,0,0
-11.9,0,0
-11.8,0,0
-13.7,0,0
-12.5,0,0
-12.1,0,0
-11.7,14,18
-11.1,97,61
-9.0,143,91
-6.2,41,134
-5.0,0,84
-3.8,0,74
-2.8,0,49
-2.9,0,23
-2.9,0,1
-3.3,0,0
-3.4,0,0
-3.6,0,0
-4.1,0,0
-5.5,0,0
-6.0,0,0
-5.9,0,0
-4.2,0,0
-3.2,0,0
-2.1,0,0
-1.9,0,0
-1.8,0,0
-1.8,0,0
-1.4,0,0
-0.7,0,0
0.1,0,14
0.6,2,56
1.0,0,56
1.3,0,48
1.4,0,47
1.4,0,41
1.5,0,35
1.7,0,18
1.7,0,1
1.8,0,0
2.1,0,0
2.3,0,0
2.4,0,0
2.9,0,0
3.0,0,0
3.2,0,0
3.4,0,0
3.4,0,0
3.3,0,0
3.2,0,0
3.0,0,0
2.9,0,0
2.5,0,0
2.1,0,0
1.9,0,13
2.0,1,48
1.9,0,37
1.8,0,35
2.4,0,40
2.6,0,37
2.7,0,29
2.3,0,16
2.6,0,2
2.5,0,0
2.4,0,0
2.3,0,0
2.2,0,0
2.1,0,0
1.3,0,0
0.3,0,0
-0.8,0,0
-1.7,0,0
-2.4,0,0
-2.4,0,0
-2.5,0,0
-2.6,0,0
-2.8,0,0
-3.1,0,0
-3.2,7,19
-2.9,26,66
-3.1,13,99
-2.8,2,91
-2.6,0,66
-1.9,0,53
-1.6,0,40
-1.8,0,25
-2.4,0,7
-2.6,0,0
-3.1,0,0
-3.3,0,0
-3.4,0,0
-3.4,0,0
-3.3,0,0
-3.5,0,0
-3.8,0,0
-4.1,0,0
-4.3,0,0
-4.3,0,0
-4.6,0,0
-4.9,0,0
-6.2,0,0
-6.2,0,0
-7.0,3,20
-6.1,10,66
-5.4,2,85
-4.3,0,73
-3.8,0,58
-3.4,0,39
-3.6,0,37
-3.7,0,30
-3.9,0,5
-3.7,0,0
-3.6,0,0
-3.2,0,0
-3.2,0,0
-3.4,0,0
-3.5,0,0
-3.6,0,0
-3.9,0,0
-4.0,0,0
-4.0,0,0
-4.0,0,0
-4.6,0,0
-5.3,0,0
-5.4,0,0
-4.6,0,0
-4.0,0,12
-3.2,0,41
-2.2,0,40
-1.7,0,38
-1.2,0,77
-0.8,0,36
-0.5,0,29
-0.1,0,19
0.2,0,3
0.5,0,0
0.9,0,0
1.3,0,0
1.5,0,0
1.8,0,0
2.1,0,0
2.4,0,0
2.5,0,0
2.7,0,0
2.7,0,0
3.1,0,0
3.3,0,0
3.5,0,0
3.9,0,0
4.0,0,0
4.2,0,13
4.4,0,42
4.9,0,61
5.3,0,44
5.7,0,47
5.7,0,53
5.6,0,27
5.1,0,31
4.3,1,13
3.0,0,0
2.7,0,0
2.0,0,0
1.3,0,0
1.3,0,0
0.9,0,0
1.8,0,0
2.0,0,0
2.1,0,0
2.0,0,0
2.0,0,0
2.0,0,0
1.4,0,0
1.1,0,0
0.6,0,0
0.8,30,25
1.6,127,47
2.9,221,57
4.0,253,72
4.2,186,120
4.9,87,148
4.6,29,116
4.4,12,72
3.1,3,22
1.9,0,0
1.2,0,0
0.9,0,0
0.4,0,0
-0.2,0,0
-1.0,0,0
-1.5,0,0
-1.1,0,0
-1.0,0,0
-0.3,0,0
-0.4,0,0
-0.3,0,0
-0.1,0,0
0.2,0,0
0.4,0,0
0.7,0,9
1.0,0,34
1.5,0,67
1.7,0,58
2.0,0,60
2.3,0,68
2.5,0,54
2.7,0,14
2.6,0,3
2.2,0,0
2.4,0,0
2.9,0,0
3.2,0,0
3.4,0,0
3.4,0,0
3.6,0,0
3.7,0,0
3.7,0,0
3.7,0,0
3.6,0,0
3.2,0,0
2.6,0,0
2.0,0,0
1.9,0,0
1.9,17,22
2.1,8,72
2.7,20,112
3.5,27,137
4.5,88,147
4.3,32,135
4.1,0,81
4.4,20,71
3.2,1,21
2.4,0,0
2.4,0,0
1.9,0,0
1.2,0,0
0.2,0,0
0.4,0,0
0.3,0,0
-0.3,0,0
0.0,0,0
0.3,0,0
0.0,0,0
-0.2,0,0
0.1,0,0
0.2,0,0
0.5,0,0
0.7,4,29
1.3,4,78
2.0,0,87
2.4,0,62
2.8,0,72
3.1,0,62
3.4,0,58
3.0,0,46
2.4,0,8
2.3,0,0
2.2,0,0
2.2,0,0
2.0,0,0
1.9,0,0
1.7,0,0
1.6,0,0
1.4,0,0
1.0,0,0
0.7,0,0
-0.5,0,0
-1.3,0,0
-2.0,0,0
-2.2,0,0
-2.7,0,0
-2.3,41,26
-0.9,133,55
0.6,225,68
1.9,279,76
2.8,291,81
3.1,254,83
2.8,184,80
1.9,95,61
0.5,10,25
-0.8,0,0
-1.7,0,0
-2.8,0,0
-3.5,0,0
-4.2,0,0
-4.9,0,0
-5.4,0,0
-5.6,0,0
-5.7,0,0
-5.8,0,0
-6.2,0,0
-6.4,0,0
-6.6,0,0
-6.6,0,0
-6.7,0,0
-6.2,35,31
-4.7,116,70
-2.4,194,93
-0.5,245,108
0.9,255,114
1.7,233,109
1.4,169,98
0.6,87,71
-0.7,12,27
-1.8,0,0
-2.2,0,0
-2.5,0,0
-3.2,0,0
-3.9,0,0
-4.4,0,0
-5.0,0,0
-5.7,0,0
-6.3,0,0
-6.7,0,0
-7.2,0,0
-7.7,0,0
-7.9,0,0
-8.0,0,0
-8.3,0,0
-7.7,40,30
-5.9,126,66
-3.4,208,86
-1.4,264,98
0.2,277,103
1.3,252,98
1.4,189,87
0.6,97,68
-1.1,16,28
-2.2,0,0
-2.9,0,0
-3.5,0,0
-3.8,0,0
-4.4,0,0
-4.8,0,0
-5.1,0,0
-5.1,0,0
-4.6,0,0
-5.6,0,0
-5.3,0,0
-5.3,0,0
-5.6,0,0
-6.5,0,0
-6.0,0,0
-5.7,44,31
-4.1,132,65
-2.7,212,85
-1.3,263,96
0.0,275,102
0.9,252,97
1.5,193,85
1.0,99,67
0.0,19,29
-0.9,0,0
-1.1,0,0
-1.7,0,0
-2.3,0,0
-2.3,0,0
-2.4,0,0
-2.3,0,0
-2.6,0,0
-2.9,0,0
-2.3,0,0
-2.1,0,0
-2.0,0,0
-2.0,0,0
-1.9,0,0
-2.3,0,0
-3.2,35,41
-2.6,110,89
-0.9,182,124
0.9,232,143
2.0,246,148
3.0,224,140
3.3,158,120
2.9,56,91
2.3,0,24
1.1,0,0
1.3,0,0
1.2,0,0
1.3,0,0
1.6,0,0
2.0,0,0
1.8,0,0
1.8,0,0
1.9,0,0
2.5,0,0
2.7,0,0
2.5,0,0
2.4,0,0
2.8,0,0
3.2,0,1
3.8,0,23
4.6,0,58
5.2,0,59
4.9,0,56
4.8,0,61
4.6,0,52
4.6,0,42
4.5,0,26
4.6,0,7
4.6,0,0
4.7,0,0
5.0,0,0
5.1,0,0
4.9,0,0
4.9,0,0
4.8,0,0
3.9,0,0
2.9,0,0
2.7,0,0
2.7,0,0
2.5,0,0
